ID Punto;Iluminación;¿Qué veo?;Visibilidad;Presencia de personas;Seguridad;Estado del Sendero;Transporte;Presencia mixta;Índice de seguridad;Dirección;Código Localidad;Nombre Localidad;Coordenada X;Coordenada Y
1270;Poca;Bastante visible;No miran;Desierto;Ninguna;Bueno;Cerca;No hay diversidad;Bajo;Usaquén, Bogotá, Bogota, Colombia;1;Usaquén;-74,04129999970;4,75850000046
1271;Brillante;Bastante visible;No miran;Desierto;Ninguna;Bueno;A distancia;No hay diversidad;Bajo;Usaquén, Bogotá, Bogota, Colombia;1;Usaquén;-74,04129999970;4,75730000064
1272;Suficiente;Bastante visible;No miran;Desierto;Ninguna;Bueno;No está disponible;No hay diversidad;Bajo;Usaquén, Bogotá, Bogota, Colombia;1;Usaquén;-74,04090000040;4,75640000030
1273;Poca;Bastante visible;No miran;Desierto;Ninguna;Bueno;No está disponible;No hay diversidad;Muy bajo;Usaquén, Bogotá, Bogota, Colombia;1;Usaquén;-74,04030000050;4,75520000048
1274;Brillante;Bastante visible;Muchos miran;Bastantes personas;Ninguna;Bueno;Muy Cerca;Hay poca diversidad;Alto;AC 100 - Kr 11A, Bogotá, Colombia;1;Usaquén;-74,04310000040;4,68270000070
1275;Suficiente;Bastante visible;No miran;Desierto;Ninguna;Bueno;No está disponible;No hay diversidad;Bajo;Usaquén, Bogotá, Bogota, Colombia;1;Usaquén;-74,04000000000;4,75390000083
1276;Brillante;Bastante visible;Algunos miran;Pocas personas;Minima;Bueno;Cerca;Hay diversidad;Alto;El Pedregal, Bogotá, Bogota, Colombia;1;Usaquén;-74,04289999980;4,68380000070
1277;Brillante;Bastante visible;Algunos miran;Desierto;Ninguna;Bueno;A distancia;No hay diversidad;Medio;El Pedregal, Bogotá, Bogota, Colombia;1;Usaquén;-74,04220000000;4,68530000001
1278;Suficiente;Bastante visible;No miran;Desierto;Ninguna;Bueno;A distancia;No hay diversidad;Bajo;Usaquén, Bogotá, Bogota, Colombia;1;Usaquén;-74,03880000020;4,75300000049
1279;Brillante;Bastante visible;Muchos miran;Desierto;Ninguna;Bueno;A distancia;No hay diversidad;Medio;El Pedregal, Bogotá, Bogota, Colombia;1;Usaquén;-74,04150000030;4,68669999950
1280;Brillante;Visibilidad total;Algunos miran;Pocas personas;Ninguna;Bueno;Cerca;No hay diversidad;Alto;El Pedregal, Bogotá, Bogota, Colombia;1;Usaquén;-74,04090000040;4,68759999983
1281;Suficiente;Bastante visible;No miran;Desierto;Ninguna;Bueno;A distancia;No hay diversidad;Bajo;Usaquén, Bogotá, Bogota, Colombia;1;Usaquén;-74,03789999990;4,75210000016
1282;Brillante;Bastante visible;Muchos miran;Desierto;Ninguna;Bueno;Cerca;No hay diversidad;Medio;Francisco Miranda, Bogotá, Bogota, Colombia;1;Usaquén;-74,04030000050;4,68869999982
1283;Suficiente;Bastante visible;No miran;Desierto;Ninguna;Bueno;Cerca;No hay diversidad;Bajo;Usaquén, Bogotá, Bogota, Colombia;1;Usaquén;-74,03809999950;4,75090000033
1284;Brillante;Bastante visible;No miran;Desierto;Minima;Bueno;Cerca;No hay diversidad;Medio;Usaquén, Bogotá, Bogota, Colombia;1;Usaquén;-74,03799999970;4,75000000000
1285;Suficiente;Bastante visible;No miran;Desierto;Ninguna;Bueno;Muy Cerca;No hay diversidad;Medio;Usaquén, Bogotá, Bogota, Colombia;1;Usaquén;-74,03749999960;4,74929999933
1286;Suficiente;Visibilidad total;No miran;Desierto;Ninguna;Bueno;Muy Cerca;No hay diversidad;Medio;Auto Norte - CL 193, Bogotá, Colombia;1;Usaquén;-74,04310000040;4,76920000091
1287;Suficiente;Visibilidad total;No miran;Desierto;Ninguna;Bueno;Cerca;No hay diversidad;Medio;Tibabita, Bogotá, Colombia;1;Usaquén;-74,04330000000;4,76799999923
1288;Suficiente;Visibilidad total;No miran;Desierto;Ninguna;Bueno;Cerca;No hay diversidad;Medio;Rincon del Puente, Bogotá, Bogota, Colombia;1;Usaquén;-74,04349999970;4,76679999940
1289;Suficiente;Visibilidad total;No miran;Desierto;Ninguna;Bueno;Cerca;No hay diversidad;Medio;Rincon del Puente, Bogotá, Bogota, Colombia;1;Usaquén;-74,04360000040;4,76569999941
1290;Suficiente;Visibilidad total;Algunos miran;Bastantes personas;Minima;Bueno;Muy Cerca;No hay diversidad;Alto;Rincon del Puente, Bogotá, Bogota, Colombia;1;Usaquén;-74,04380000010;4,76469999924
1291;Brillante;Visibilidad total;Altamente visible;Bastantes personas;Ninguna;Bueno;Muy Cerca;Hay algo de diversidad;Muy Alto;Auto Norte - CL 187Bis, Bogotá, Colombia;1;Usaquén;-74,04389999990;4,76380000077
1292;Brillante;Visibilidad total;No miran;Bastantes personas;Ninguna;Bueno;Muy Cerca;No hay diversidad;Alto;C.C. Santafe A - 3, Bogotá, Colombia;1;Usaquén;-74,04399999980;4,76270000078
1293;Suficiente;Visibilidad total;Muchos miran;Una multitud de personas;Minima;Bueno;Cerca;Hay poca diversidad;Muy Alto;Rincon del Puente, Bogotá, Bogota, Colombia;1;Usaquén;-74,04430000020;4,76170000061
1294;Brillante;Visibilidad total;No miran;Bastantes personas;Minima;Bueno;Cerca;No hay diversidad;Alto;Rincon del Puente, Bogotá, Bogota, Colombia;1;Usaquén;-74,04440000000;4,76070000045
1295;Suficiente;Visibilidad total;Algunos miran;Bastantes personas;Minima;Bueno;A distancia;No hay diversidad;Alto;Rincon del Puente, Bogotá, Bogota, Colombia;1;Usaquén;-74,04480000030;4,75929999910
1296;Brillante;Visibilidad total;Algunos miran;Bastantes personas;Ninguna;Bueno;Cerca;Hay poca diversidad;Alto;Auto Norte - DG 182, Bogotá, Colombia;1;Usaquén;-74,04509999980;4,75760000013
1297;Suficiente;Visibilidad total;Algunos miran;Una multitud de personas;Ninguna;Bueno;Muy Cerca;No hay diversidad;Alto;Auto Norte - DG 182, Bogotá, Colombia;1;Usaquén;-74,04519999960;4,75659999996
1298;Suficiente;Visibilidad total;Algunos miran;Bastantes personas;Ninguna;Bueno;Cerca;No hay diversidad;Alto;P. Norte T3, Bogotá, Colombia;1;Usaquén;-74,04540000020;4,75530000031
1299;Suficiente;Visibilidad total;Algunos miran;Una multitud de personas;Ninguna;Bueno;Cerca;Hay poca diversidad;Alto;Paradero De Buses Intermunicipales, I-autonorte #45, Bogotá, Colombia;1;Usaquén;-74,04569999970;4,75369999930
1300;Suficiente;Visibilidad total;Algunos miran;Una multitud de personas;Minima;Bueno;Muy Cerca;Hay poca diversidad;Muy Alto;P. Norte T1, Bogotá, Colombia;1;Usaquén;-74,04559999980;4,75430000015
1301;Brillante;Visibilidad total;No miran;Pocas personas;Ninguna;Bueno;Muy Cerca;No hay diversidad;Alto;Auto Norte - CL 172A, Bogotá, Colombia;1;Usaquén;-74,04590000030;4,75300000049
1302;Suficiente;Bastante visible;Algunos miran;Pocas personas;Ninguna;Bueno;Muy Cerca;No hay diversidad;Medio;Villa de Aranjuez, Bogotá, Bogota, Colombia;1;Usaquén;-74,03170000020;4,74740000069
1303;Brillante;Bastante visible;Muchos miran;Bastantes personas;Ninguna;Bueno;Muy Cerca;No hay diversidad;Alto;El Danubio Occidental, Bogotá, Bogota, Colombia;1;Usaquén;-74,03160000030;4,74650000036
1304;Suficiente;Bastante visible;Algunos miran;Bastantes personas;Ninguna;Bueno;Cerca;No hay diversidad;Medio;El Danubio Occidental, Bogotá, Bogota, Colombia;1;Usaquén;-74,03160000030;4,74560000002
1305;Suficiente;Bastante visible;Algunos miran;Bastantes personas;Ninguna;Bueno;Muy Cerca;No hay diversidad;Alto;El Danubio Occidental, Bogotá, Bogota, Colombia;1;Usaquén;-74,03160000030;4,74440000020
1306;Brillante;Bastante visible;Muchos miran;Bastantes personas;Ninguna;Bueno;Muy Cerca;No hay diversidad;Alto;AK 9 - Cl 166, Bogotá, Colombia;1;Usaquén;-74,03170000020;4,74330000021
1307;Suficiente;Bastante visible;Algunos miran;Bastantes personas;Ninguna;Bueno;Muy Cerca;No hay diversidad;Alto;El Danubio Occidental, Bogotá, Bogota, Colombia;1;Usaquén;-74,03170000020;4,74200000055
1308;Suficiente;Bastante visible;Algunos miran;Pocas personas;Ninguna;Bueno;Muy Cerca;No hay diversidad;Medio;Alimentador San Cristá??bal Parada 12 Transmilenio, Avenida Carrera 9, Bogotá, Colombia;1;Usaquén;-74,03170000020;4,74090000056
1309;Brillante;Bastante visible;Algunos miran;Bastantes personas;Minima;Bueno;Muy Cerca;No hay diversidad;Alto;AK 9 - Cl 163A, Bogotá, Colombia;1;Usaquén;-74,03170000020;4,73990000039
1310;Brillante;Bastante visible;Algunos miran;Pocas personas;Ninguna;Bueno;Muy Cerca;No hay diversidad;Alto;AK 9 - AC 161, Bogotá, Colombia;1;Usaquén;-74,03180000000;4,73870000057
1311;Brillante;Bastante visible;Algunos miran;Pocas personas;Ninguna;Bueno;Cerca;No hay diversidad;Medio;Dorado, Bogotá, Bogota, Colombia;1;Usaquén;-74,03180000000;4,73770000041
1312;Brillante;Bastante visible;Algunos miran;Desierto;Ninguna;Bueno;Cerca;No hay diversidad;Medio;Dorado, Bogotá, Bogota, Colombia;1;Usaquén;-74,03180000000;4,73640000075
1313;Suficiente;Bastante visible;Algunos miran;Desierto;Ninguna;Bueno;Muy Cerca;No hay diversidad;Medio;AK 9 - Cl 158A, Bogotá, Colombia;1;Usaquén;-74,03180000000;4,73509999923
1314;Suficiente;Bastante visible;Algunos miran;Desierto;Ninguna;Bueno;Cerca;No hay diversidad;Medio;El Consuelo, Bogotá, Bogota, Colombia;1;Usaquén;-74,03189999980;4,73399999924
1315;Suficiente;Bastante visible;Algunos miran;Desierto;Ninguna;Bueno;Cerca;No hay diversidad;Medio;El Consuelo, Bogotá, Bogota, Colombia;1;Usaquén;-74,03189999980;4,73259999976
1316;Brillante;Bastante visible;Algunos miran;Pocas personas;Ninguna;Bueno;Cerca;No hay diversidad;Medio;El Consuelo, Bogotá, Bogota, Colombia;1;Usaquén;-74,03199999970;4,73139999993
1317;Brillante;Bastante visible;Algunos miran;Pocas personas;Ninguna;Bueno;Cerca;No hay diversidad;Medio;El Consuelo, Bogotá, Bogota, Colombia;1;Usaquén;-74,03199999970;4,73139999993
1318;Suficiente;Bastante visible;Muchos miran;Pocas personas;Ninguna;Bueno;Muy Cerca;No hay diversidad;Alto;AK 9 - AC 153, Bogotá, Colombia;1;Usaquén;-74,03199999970;4,73039999977
1319;Brillante;Bastante visible;Algunos miran;Desierto;Ninguna;Bueno;Cerca;No hay diversidad;Medio;Madeira, Bogotá, Bogota, Colombia;1;Usaquén;-74,03199999970;4,72929999977
1320;Suficiente;Bastante visible;Algunos miran;Desierto;Ninguna;Bueno;Cerca;No hay diversidad;Medio;AK 9 - Cl 149, Bogotá, Colombia;1;Usaquén;-74,03210000040;4,72800000012
1321;Suficiente;Bastante visible;Algunos miran;Bastantes personas;Ninguna;Bueno;Muy Cerca;No hay diversidad;Alto;Madeira, Bogotá, Bogota, Colombia;1;Usaquén;-74,03210000040;4,72639999911
1322;Brillante;Bastante visible;Algunos miran;Desierto;Minima;Bueno;Cerca;No hay diversidad;Medio;AK 9 - Cl 117A, Bogotá, Colombia;1;Usaquén;-74,03650000040;4,69459999911
1323;Suficiente;Bastante visible;No miran;Desierto;Minima;Bueno;Cerca;No hay diversidad;Medio;;1;Usaquén;-74,03529999960;4,69409999996
1324;Suficiente;Bastante visible;Algunos miran;Desierto;Minima;Bueno;Muy Cerca;No hay diversidad;Medio;Apolo III, Bogotá, Bogota, Colombia;1;Usaquén;-74,03560000010;4,69250000082
1325;Poca;Bastante visible;Algunos miran;Pocas personas;Ninguna;Bueno;Muy Cerca;No hay diversidad;Medio;AK 9 - Cl 110, Bogotá, Colombia;1;Usaquén;-74,03689999970;4,69160000049
1326;Brillante;Bastante visible;Algunos miran;Desierto;Minima;Bueno;Cerca;No hay diversidad;Medio;Estaciá??n de Tren Usaquén, Avenida Carrera 9, Bogotá, Colombia;1;Usaquén;-74,03859999960;4,69050000049
1327;Suficiente;Bastante visible;Algunos miran;Desierto;Ninguna;Bueno;Muy Cerca;No hay diversidad;Medio;Francisco Miranda, Bogotá, Bogota, Colombia;1;Usaquén;-74,04009999990;4,68909999914
1328;Brillante;Bastante visible;Algunos miran;Pocas personas;Ninguna;Bueno;Cerca;Hay diversidad;Alto;Francisco Miranda, Bogotá, Bogota, Colombia;1;Usaquén;-74,04040000030;4,68830000050
1329;Brillante;Bastante visible;Algunos miran;Pocas personas;Ninguna;Bueno;Cerca;No hay diversidad;Medio;El Pedregal, Bogotá, Bogota, Colombia;1;Usaquén;-74,04050000010;4,68750000000
1330;Suficiente;Bastante visible;Muchos miran;Pocas personas;Ninguna;Bueno;Cerca;No hay diversidad;Medio;San Patricio, Bogotá, Bogota, Colombia;1;Usaquén;-74,05020000040;4,69219999947
1331;Brillante;Bastante visible;Algunos miran;Pocas personas;Ninguna;Bueno;Cerca;No hay diversidad;Medio;San Patricio, Bogotá, Bogota, Colombia;1;Usaquén;-74,04770000000;4,69109999947
1332;Brillante;Bastante visible;Algunos miran;Desierto;Ninguna;Bueno;Muy Cerca;No hay diversidad;Medio;AK 15 - Cl 105A, Bogotá, Colombia;1;Usaquén;-74,04550000000;4,69019999914
1333;Suficiente;Bastante visible;No miran;Desierto;Ninguna;Bueno;Cerca;No hay diversidad;Bajo;Los Molinos Norte, Bogotá, Bogota, Colombia;1;Usaquén;-74,04380000010;4,68920000084
1334;Brillante;Bastante visible;Algunos miran;Desierto;Ninguna;Bueno;Cerca;No hay diversidad;Medio;El Pedregal, Bogotá, Bogota, Colombia;1;Usaquén;-74,04160000010;4,68799999915
1335;Suficiente;Bastante visible;Algunos miran;Desierto;Ninguna;Bueno;Cerca;No hay diversidad;Medio;El Pedregal, Bogotá, Bogota, Colombia;1;Usaquén;-74,03990000020;4,68710000068
1336;Suficiente;Bastante visible;Muchos miran;Pocas personas;Ninguna;Bueno;Cerca;No hay diversidad;Medio;El Pedregal, Bogotá, Bogota, Colombia;1;Usaquén;-74,03789999990;4,68610000052
1337;Brillante;Bastante visible;Algunos miran;Desierto;Ninguna;Bueno;Cerca;No hay diversidad;Medio;;1;Usaquén;-74,03639999960;4,68530000001
1338;Suficiente;Bastante visible;Algunos miran;Bastantes personas;Minima;Bueno;Cerca;No hay diversidad;Alto;Santa Bibiana, Bogotá, Bogota, Colombia;1;Usaquén;-74,05119999960;4,69280000031
1339;Suficiente;Bastante visible;Algunos miran;Bastantes personas;Ninguna;Bueno;Cerca;No hay diversidad;Medio;Santa Bibiana, Bogotá, Bogota, Colombia;1;Usaquén;-74,05210000000;4,69299999997
1340;Suficiente;Bastante visible;Muchos miran;Pocas personas;Ninguna;Bueno;A distancia;No hay diversidad;Medio;Santa Bibiana, Bogotá, Bogota, Colombia;1;Usaquén;-74,05300000030;4,69309999980
1341;Suficiente;Bastante visible;Algunos miran;Desierto;Ninguna;Bueno;Cerca;No hay diversidad;Medio;Navarra, Bogotá, Bogota, Colombia;1;Usaquén;-74,05399999950;4,69319999963
1342;Suficiente;Bastante visible;Algunos miran;Bastantes personas;Minima;Bueno;Cerca;Hay diversidad;Alto;Navarra, Bogotá, Bogota, Colombia;1;Usaquén;-74,05499999970;4,69339999929
1343;Suficiente;Bastante visible;Algunos miran;Pocas personas;Minima;Bueno;Cerca;No hay diversidad;Medio;AK 15 - AC 116, Bogotá, Colombia;1;Usaquén;-74,04370000030;4,69639999978
1344;Suficiente;Bastante visible;Muchos miran;Pocas personas;Minima;Bueno;Muy Cerca;No hay diversidad;Alto;AC 116 - Kr 15B, Bogotá, Colombia;1;Usaquén;-74,04449999980;4,69669999927
1345;Suficiente;Bastante visible;Muchos miran;Pocas personas;Ninguna;Bueno;Cerca;No hay diversidad;Medio;San Patricio, Bogotá, Bogota, Colombia;1;Usaquén;-74,04569999970;4,69720000029
1346;Suficiente;Bastante visible;Muchos miran;Pocas personas;Ninguna;Bueno;Muy Cerca;No hay diversidad;Alto;AC 116 - Kr 17, Bogotá, Colombia;1;Usaquén;-74,04669999980;4,69749999978
1347;Suficiente;Bastante visible;Muchos miran;Pocas personas;Minima;Bueno;Cerca;No hay diversidad;Alto;San Patricio, Bogotá, Bogota, Colombia;1;Usaquén;-74,04779999980;4,69800000079
1348;Suficiente;Bastante visible;Muchos miran;Pocas personas;Minima;Bueno;Muy Cerca;No hay diversidad;Alto;AC 116 - Kr 18B, Bogotá, Colombia;1;Usaquén;-74,04860000030;4,69830000028
1349;Brillante;Bastante visible;Muchos miran;Pocas personas;Minima;Bueno;Muy Cerca;No hay diversidad;Alto;San Patricio, Bogotá, Bogota, Colombia;1;Usaquén;-74,04930000010;4,69849999994
1350;Brillante;Bastante visible;Muchos miran;Pocas personas;Ninguna;Bueno;Muy Cerca;No hay diversidad;Alto;AK 19 - Cl 160, Bogotá, Colombia;1;Usaquén;-74,04320000020;4,74070000090
1351;Brillante;Bastante visible;Muchos miran;Bastantes personas;Ninguna;Bueno;Cerca;No hay diversidad;Alto;Villa Magdala, Bogotá, Bogota, Colombia;1;Usaquén;-74,04430000020;4,74090000056
1352;Brillante;Bastante visible;Muchos miran;Bastantes personas;Minima;Bueno;Cerca;Hay poca diversidad;Alto;Orquideas, Bogotá, Bogota, Colombia;1;Usaquén;-74,04540000020;4,74129999988
1353;Brillante;Bastante visible;Muchos miran;Pocas personas;Ninguna;Bueno;Cerca;No hay diversidad;Alto;Orquideas, Bogotá, Bogota, Colombia;1;Usaquén;-74,04640000030;4,74159999937
1354;Suficiente;Bastante visible;Algunos miran;Pocas personas;Ninguna;Bueno;Cerca;No hay diversidad;Medio;Auto Norte - AC 161, Bogotá, Colombia;1;Usaquén;-74,04700000030;4,74159999937
1355;Brillante;Bastante visible;Muchos miran;Bastantes personas;Ninguna;Bueno;Cerca;No hay diversidad;Alto;Auto Norte - AC 161, Bogotá, Colombia;1;Usaquén;-74,04750000030;4,74159999937
1356;Brillante;Bastante visible;Muchos miran;Bastantes personas;Ninguna;Bueno;Muy Cerca;Hay poca diversidad;Alto;Orquideas, Bogotá, Bogota, Colombia;1;Usaquén;-74,04360000040;4,74100000039
1357;Brillante;Bastante visible;Muchos miran;Desierto;Minima;Bueno;Muy Cerca;No hay diversidad;Alto;AK 19 - Cl 142, Bogotá, Colombia;1;Usaquén;-74,04640000030;4,72419999912
1358;Brillante;Bastante visible;Algunos miran;Desierto;Ninguna;Bueno;Cerca;No hay diversidad;Medio;Autopista, Bogotá, Bogota, Colombia;1;Usaquén;-74,04739999960;4,72430000082
1359;Brillante;Bastante visible;Muchos miran;Pocas personas;Ninguna;Bueno;Cerca;No hay diversidad;Alto;Autopista, Bogotá, Bogota, Colombia;1;Usaquén;-74,04930000010;4,72470000014
1360;Suficiente;Bastante visible;Muchos miran;Pocas personas;Ninguna;Bueno;A distancia;No hay diversidad;Medio;Autopista, Bogotá, Bogota, Colombia;1;Usaquén;-74,04820000010;4,72450000048
1361;Brillante;Bastante visible;Algunos miran;Desierto;Ninguna;Bueno;Muy Cerca;No hay diversidad;Medio;Autopista, Bogotá, Bogota, Colombia;1;Usaquén;-74,05020000040;4,72470000014
1362;Suficiente;Bastante visible;Algunos miran;Desierto;Ninguna;Bueno;Muy Cerca;No hay diversidad;Medio;AC 134 - Kr 20, Bogotá, Colombia;1;Usaquén;-74,04949999970;4,71869999915
1363;Brillante;Bastante visible;Algunos miran;Desierto;Ninguna;Bueno;Cerca;No hay diversidad;Medio;Nueva Autopista, Bogotá, Bogota, Colombia;1;Usaquén;-74,05069999960;4,71890000068
1364;Ninguna;Bastante visible;No miran;Desierto;Ninguna;Bueno;Cerca;No hay diversidad;Bajo;AK 7 - AC 100, Bogotá, Colombia;1;Usaquén;-74,03859999960;4,68029999919
1365;Suficiente;Bastante visible;No miran;Pocas personas;Minima;Bueno;Muy Cerca;No hay diversidad;Medio;AC 100 - KR 8 Bis A, Bogotá, Colombia;1;Usaquén;-74,03959999980;4,68080000021
1366;Poca;Bastante visible;No miran;Pocas personas;Ninguna;Bueno;Muy Cerca;No hay diversidad;Medio;AC 100 - Kr 8A, Bogotá, Colombia;1;Usaquén;-74,04059999990;4,68139999919
1367;Poca;Bastante visible;No miran;Pocas personas;Ninguna;Bueno;Muy Cerca;No hay diversidad;Medio;AC 100 - Kr 8A, Bogotá, Colombia;1;Usaquén;-74,04059999990;4,68139999919
1368;Suficiente;Bastante visible;No miran;Bastantes personas;Minima;Bueno;Muy Cerca;No hay diversidad;Alto;AC 100 - Kr 8A, Bogotá, Colombia;1;Usaquén;-74,04110000000;4,68160000071
1369;Poca;Bastante visible;No miran;Pocas personas;Minima;Bueno;Muy Cerca;No hay diversidad;Medio;AC 100 - Kr 8A, Bogotá, Colombia;1;Usaquén;-74,04189999960;4,68209999986
1370;Poca;Bastante visible;No miran;Pocas personas;Minima;Bueno;Muy Cerca;No hay diversidad;Medio;AC 100 - Kr 8A, Bogotá, Colombia;1;Usaquén;-74,04189999960;4,68209999986
1371;Suficiente;Bastante visible;No miran;Bastantes personas;Ninguna;Bueno;Muy Cerca;No hay diversidad;Medio;AC 100 - Kr 11A, Bogotá, Colombia;1;Usaquén;-74,04289999980;4,68260000087
1372;Suficiente;Bastante visible;No miran;Pocas personas;Ninguna;Bueno;Muy Cerca;No hay diversidad;Medio;AC 100 - Kr 11A, Bogotá, Colombia;1;Usaquén;-74,04389999990;4,68310000002
1373;Suficiente;Bastante visible;Algunos miran;Bastantes personas;Minima;Bueno;Muy Cerca;Hay poca diversidad;Alto;El Pedregal, Bogotá, Bogota, Colombia;1;Usaquén;-74,04490000010;4,68359999917
1374;Suficiente;Bastante visible;Algunos miran;Pocas personas;Minima;Bueno;Muy Cerca;No hay diversidad;Alto;AC 100 - Kr 13, Bogotá, Colombia;1;Usaquén;-74,04590000030;4,68410000019
1375;Brillante;Bastante visible;Algunos miran;Bastantes personas;Minima;Bueno;Cerca;Hay poca diversidad;Alto;El Pedregal, Bogotá, Bogota, Colombia;1;Usaquén;-74,04690000040;4,68459999934
1376;Suficiente;Bastante visible;No miran;Bastantes personas;Minima;Bueno;Cerca;Hay algo de diversidad;Alto;El Pedregal, Bogotá, Bogota, Colombia;1;Usaquén;-74,04760000020;4,68530000001
1377;Suficiente;Bastante visible;No miran;Bastantes personas;Minima;Bueno;Cerca;Hay algo de diversidad;Alto;El Pedregal, Bogotá, Bogota, Colombia;1;Usaquén;-74,04760000020;4,68530000001
1378;Suficiente;Bastante visible;Algunos miran;Una multitud de personas;Minima;Bueno;Muy Cerca;No hay diversidad;Alto;AC 100 - Kr 16, Bogotá, Colombia;1;Usaquén;-74,04930000010;4,68559999950
1379;Suficiente;Bastante visible;Algunos miran;Una multitud de personas;Minima;Bueno;Muy Cerca;Hay diversidad;Muy Alto;AC 100 - AK 19, Bogotá, Colombia;1;Usaquén;-74,05030000020;4,68579999916
1380;Suficiente;Bastante visible;Algunos miran;Bastantes personas;Minima;Bueno;Cerca;Hay poca diversidad;Alto;San Patricio, Bogotá, Bogota, Colombia;1;Usaquén;-74,05119999960;4,68590000086
1381;Suficiente;Bastante visible;Muchos miran;Una multitud de personas;Ninguna;Bueno;Muy Cerca;Hay diversidad;Muy Alto;AC 100 - AK 19, Bogotá, Colombia;1;Usaquén;-74,05219999980;4,68610000052
1382;Suficiente;Bastante visible;Algunos miran;Pocas personas;Ninguna;Bueno;Muy Cerca;No hay diversidad;Medio;AC 100 - Kr 19A, Bogotá, Colombia;1;Usaquén;-74,05350000040;4,68630000018
1383;Suficiente;Bastante visible;Algunos miran;Pocas personas;Ninguna;Bueno;Muy Cerca;No hay diversidad;Medio;AC 100 - Kr 19A, Bogotá, Colombia;1;Usaquén;-74,05350000040;4,68630000018
1384;Suficiente;Bastante visible;Algunos miran;Una multitud de personas;Ninguna;Bueno;Muy Cerca;Hay poca diversidad;Alto;AC 100 - Kr 21, Bogotá, Colombia;1;Usaquén;-74,05489999990;4,68659999967
1385;Suficiente;Bastante visible;Algunos miran;Una multitud de personas;Ninguna;Bueno;Muy Cerca;Hay poca diversidad;Alto;AC 100 - Kr 21, Bogotá, Colombia;1;Usaquén;-74,05489999990;4,68659999967
1386;Brillante;Visibilidad total;No miran;Bastantes personas;Ninguna;Bueno;Cerca;Hay algo de diversidad;Alto;Navarra, Bogotá, Bogota, Colombia;1;Usaquén;-74,05620000050;4,68689999916
1387;Brillante;Visibilidad total;No miran;Bastantes personas;Ninguna;Bueno;A distancia;Hay poca diversidad;Alto;Navarra, Bogotá, Bogota, Colombia;1;Usaquén;-74,05709999990;4,68700000085
1388;Brillante;Bastante visible;Altamente visible;Pocas personas;Buena;Bueno;Muy Cerca;No hay diversidad;Muy Alto;Sucre, Bogotá, Bogota, Colombia;2;Chapinero;-74,06720000040;4,62749999948
1389;Brillante;Bastante visible;Altamente visible;Pocas personas;Minima;Bueno;Cerca;No hay diversidad;Alto;Sucre, Bogotá, Bogota, Colombia;2;Chapinero;-74,06709999960;4,62869999930
1390;Brillante;Bastante visible;Altamente visible;Bastantes personas;Minima;Bueno;Cerca;No hay diversidad;Alto;Punto de recarga de transmilenio, Cra. 13 #42, Bogotá, Colombia;2;Chapinero;-74,06680000010;4,62959999964
1391;Brillante;Bastante visible;Altamente visible;Pocas personas;Ninguna;Bueno;Muy Cerca;Hay diversidad;Muy Alto;K13 - CL43A, Bogotá, Colombia;2;Chapinero;-74,06659999960;4,63120000064
1392;Brillante;Bastante visible;Altamente visible;Bastantes personas;Minima;Bueno;Muy Cerca;No hay diversidad;Muy Alto;AK 13 - Cl 46, Bogotá, Colombia;2;Chapinero;-74,06610000040;4,63350000046
1393;Brillante;Bastante visible;Altamente visible;Bastantes personas;Minima;Bueno;Cerca;Hay poca diversidad;Muy Alto;Marly, Bogotá, Bogota, Colombia;2;Chapinero;-74,06589999980;4,63470000029
1394;Brillante;Bastante visible;Altamente visible;Pocas personas;Minima;Bueno;Cerca;No hay diversidad;Alto;Marly, Bogotá, Bogota, Colombia;2;Chapinero;-74,06580000000;4,63560000062
1395;Brillante;Bastante visible;Altamente visible;Pocas personas;Minima;Bueno;Muy Cerca;Hay diversidad;Muy Alto;AK 13 - Cl 50, Bogotá, Colombia;2;Chapinero;-74,06549999960;4,63729999959
1396;Brillante;Bastante visible;Altamente visible;Pocas personas;Minima;Bueno;Cerca;No hay diversidad;Alto;Marly, Bogotá, Bogota, Colombia;2;Chapinero;-74,06539999970;4,63859999925
1397;Brillante;Bastante visible;Altamente visible;Bastantes personas;Ninguna;Bueno;Cerca;No hay diversidad;Alto;Marly, Bogotá, Bogota, Colombia;2;Chapinero;-74,06520000010;4,63949999958
1398;Brillante;Bastante visible;Altamente visible;Bastantes personas;Minima;Bueno;Cerca;No hay diversidad;Alto;Chapinero Central, Bogotá, Bogota, Colombia;2;Chapinero;-74,06489999960;4,64030000009
1399;Brillante;Parcialmente visible;Altamente visible;Desierto;Minima;Bueno;Muy Cerca;No hay diversidad;Alto;AK 13 - Cl 54, Bogotá, Colombia;2;Chapinero;-74,06489999960;4,64159999974
1400;Brillante;Bastante visible;Altamente visible;Pocas personas;Ninguna;Bueno;Muy Cerca;No hay diversidad;Alto;K13 - CL55, Bogotá, Colombia;2;Chapinero;-74,06470000000;4,64269999973
1401;Brillante;Bastante visible;Altamente visible;Bastantes personas;Minima;Bueno;Muy Cerca;Hay diversidad;Muy Alto;AK 13 - Cl 57, Bogotá, Colombia;2;Chapinero;-74,06439999960;4,64399999939
1402;Brillante;Bastante visible;Altamente visible;Pocas personas;Minima;Bueno;Cerca;No hay diversidad;Alto;Chapinero Central, Bogotá, Bogota, Colombia;2;Chapinero;-74,06429999970;4,64509999938
